gene_id	mean_young_vst	mean_old_vst	var_young	var_old	sd_young	sd_old	log2_var_ratio_old_vs_young	bf_statistic	pvalue	padj	subset	n_young	n_old	external_gene_name	description	gene_biotype
ENSMUSG00000095280	4.577270080392145	4.206012624768728	0.19681439336159645	0	0.4436376825311354	0	-24.230332468719865	45.77785709858346	4.781899181864348e-9	6.54546360013592e-5	nsn_only	30	36	NA	NA	NA
ENSMUSG00000028364	5.083833182866214	4.3518071858979175	0.5570635246386272	0.0793021582513943	0.7463668834016064	0.28160638886821143	-2.8124096630828888	31.853503057318264	4.076782837240751e-7	0.00279015017380757	nsn_only	30	36	Tnc	tenascin C [Source:MGI Symbol;Acc:MGI:101922]	protein_coding
ENSMUSG00000040865	8.350467660702247	8.358379858123934	0.01848041408595062	0.10632207254246216	0.13594268676891236	0.3260706557518817	2.524371499239756	24.174368761403176	6.441178195922069e-6	0.02938894904859376	nsn_only	30	36	Ino80d	INO80 complex subunit D [Source:MGI Symbol;Acc:MGI:3027003]	protein_coding
ENSMUSG00000020386	8.49718921980518	8.023883222020796	0.03141929150354859	0.2568246261672256	0.1772548772348693	0.5067786757226724	3.0310605881963344	21.84116574431193	1.571497463270396e-5	0.03091318013178554	nsn_only	30	36	Sar1b	secretion associated Ras related GTPase 1B [Source:MGI Symbol;Acc:MGI:1913647]	protein_coding
ENSMUSG00000034602	7.963312625218411	7.805044663633622	0.01661286934630617	0.1345022869302451	0.12889092034082997	0.36674553430170775	3.017256762097946	22.24519320309333	1.3439660047923972e-5	0.03091318013178554	nsn_only	30	36	Mon2	MON2 homolog, regulator of endosome to Golgi trafficking [Source:MGI Symbol;Acc:MGI:1914324]	protein_coding
ENSMUSG00000042719	7.116349242810108	7.124295957001517	0.01425896599354428	0.06574682166185276	0.11941091237212909	0.2564114304430533	2.205050994092397	22.254196443808027	1.3393028592514992e-5	0.03091318013178554	nsn_only	30	36	Naa25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit [Source:MGI Symbol;Acc:MGI:2442563]	protein_coding
ENSMUSG00000004626	6.951492550993833	6.981634911595431	0.01594983453814374	0.0694350178194595	0.12629265433169	0.26350525197699476	2.1221212791476525	21.825814669331148	1.5808902755880976e-5	0.03091318013178554	nsn_only	30	36	Stxbp2	syntaxin binding protein 2 [Source:MGI Symbol;Acc:MGI:107370]	protein_coding
ENSMUSG00000029397	9.366548520907008	9.41002402469478	0.00845229042007015	0.04560398989782373	0.09193633895294152	0.2135509070405081	2.431744416804825	21.37626509564613	1.8833361484465388e-5	0.03222388149992028	nsn_only	30	36	Rchy1	ring finger and CHY zinc finger domain containing 1 [Source:MGI Symbol;Acc:MGI:1915348]	protein_coding
ENSMUSG00000031283	5.0993583338578405	4.3605660888352995	0.9169513109584068	0.07162999404087016	0.9575757468516038	0.26763780383359553	-3.678209217619573	19.862452020682625	3.422779855385292e-5	0.03694717780279788	nsn_only	30	36	Chrdl1	chordin-like 1 [Source:MGI Symbol;Acc:MGI:1933172]	protein_coding
ENSMUSG00000034525	9.884478503828792	9.836364403950274	0.01882546615280428	0.09070634466633389	0.1372059260848608	0.3011749403026983	2.2685172705488115	19.98891477522116	3.254595363075157e-5	0.03694717780279788	nsn_only	30	36	Ice1	interactor of little elongation complex ELL subunit 1 [Source:MGI Symbol;Acc:MGI:2385865]	protein_coding
ENSMUSG00000063450	9.881308317288871	9.777804125751754	0.0334813432796338	0.15448825962229998	0.18297907880310743	0.39304994545515454	2.206067551342131	20.181566001363713	3.014645146406493e-5	0.03694717780279788	nsn_only	30	36	Syne2	spectrin repeat containing, nuclear envelope 2 [Source:MGI Symbol;Acc:MGI:2449316]	protein_coding
ENSMUSG00000030056	6.459644202235421	6.431449399445547	0.01209490465978786	0.05026690360271654	0.10997683692390804	0.2242028180079736	2.0552085201477523	20.637891532806588	2.516545675443487e-5	0.03694717780279788	nsn_only	30	36	Isy1	ISY1 splicing factor homolog [Source:MGI Symbol;Acc:MGI:1923310]	protein_coding
ENSMUSG00000031024	5.68736935439011	5.7414179086527115	0.02748971870452659	0.1091425642154909	0.1658002373476184	0.3303673171115613	1.989249402237632	19.800084831979703	3.509010165373849e-5	0.03694717780279788	nsn_only	30	36	Dennd2b	DENN domain containing 2B [Source:MGI Symbol;Acc:MGI:108517]	protein_coding
ENSMUSG00000051391	9.615193306505777	9.563878211435073	0.00641377930559925	0.0340283526903706	0.08008607435502912	0.18446775515078673	2.407488869400225	19.584598149160183	3.824654158415406e-5	0.03739419008599291	nsn_only	30	36	Ywhag	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide [Source:MGI Symbol;Acc:MGI:108109]	protein_coding
ENSMUSG00000033751	7.477775698637744	7.4920842026757315	0.01069379741996888	0.05976436961090336	0.10341081867952157	0.24446752260965743	2.482510273327941	19.10099810692808	4.644692076302802e-5	0.04238436342695517	nsn_only	30	36	Gadd45gip1	growth arrest and DNA-damage-inducible, gamma interacting protein 1 [Source:MGI Symbol;Acc:MGI:1914947]	protein_coding
